word,japanese,source,source_url,license,source_dump_date,imported_at
abscessed,"abscessの過去形・過去分詞。 / 膿瘍ができた。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abscessed,"CC BY-SA 4.0",2026-08-05,2026-08-14
absently,"ぼんやりして。上の空で。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/absently,"CC BY-SA 4.0",2026-08-05,2026-08-14
absentminded,"absent-mindedの異綴。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/absentminded,"CC BY-SA 4.0",2026-08-05,2026-08-14
absentmindedly,"absent-mindedlyの異綴。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/absentmindedly,"CC BY-SA 4.0",2026-08-05,2026-08-14
absolutely,"絶対に、無条件に。 / 全く、すっかり、紛れも無く。 / （無条件の肯定又は確信を表現する）絶対に、全くだ、間違いない。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/absolutely,"CC BY-SA 4.0",2026-08-05,2026-08-14
abstemious,"（飲食などが）節制した。禁欲的な。 / 慎ましい。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abstemious,"CC BY-SA 4.0",2026-08-05,2026-08-14
abstractedly,"ぼんやりして。上の空で。 / 心を奪われて。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abstractedly,"CC BY-SA 4.0",2026-08-05,2026-08-14
absurdly,"ばかげて、ばかばかしいほど、不条理に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/absurdly,"CC BY-SA 4.0",2026-08-05,2026-08-14
absurdum,"不合理な物事。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/absurdum,"CC BY-SA 4.0",2026-08-05,2026-08-14
abundant,"豊富な、有り余るほどの。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abundant,"CC BY-SA 4.0",2026-08-05,2026-08-14
abundantly,"豊富に、多量に。 / 非常に、すっかり。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abundantly,"CC BY-SA 4.0",2026-08-05,2026-08-14
abusive,"口汚い、罵りの、罵倒の。 / 詐欺の。[17世紀前期〜中期] / 虐待の。 / 悪用された、乱用された。 / 誤転用の。[16世紀中期より]","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abusive,"CC BY-SA 4.0",2026-08-05,2026-08-14
abusively,"口汚く、罵るように、濫りに。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abusively,"CC BY-SA 4.0",2026-08-05,2026-08-14
abyssi,"abyssusの複数形。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abyssi,"CC BY-SA 4.0",2026-08-05,2026-08-14
academically,"学究的に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/academically,"CC BY-SA 4.0",2026-08-05,2026-08-14
acarology,"壁蝨学","Japanese Wiktionary",https://ja.wiktionary.org/wiki/acarology,"CC BY-SA 4.0",2026-08-05,2026-08-14
acceder,"同意者。 / 加入者。 / 加盟者。 / 継承者。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/acceder,"CC BY-SA 4.0",2026-08-05,2026-08-14
acceptable,"受け容れられる、認められる。容認できる。 / まあまあの、無難な。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/acceptable,"CC BY-SA 4.0",2026-08-05,2026-08-14
acceptably,"満足できるほど、差支えなく。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/acceptably,"CC BY-SA 4.0",2026-08-05,2026-08-14
accepter,"受け入れる人。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/accepter,"CC BY-SA 4.0",2026-08-05,2026-08-14
accessible,"近付きやすい、到達できる。[1640年代より] / （障害者が）利用できる。 / （人が）近付きやすい、親しみやすい。 / （toを伴って、人が）影響を受けやすい。 / 入手しやすい。 / 理解しやすい。[1961年より]","Japanese Wiktionary",https://ja.wiktionary.org/wiki/accessible,"CC BY-SA 4.0",2026-08-05,2026-08-14
accessorizing,"accessorizeの現在分詞","Japanese Wiktionary",https://ja.wiktionary.org/wiki/accessorizing,"CC BY-SA 4.0",2026-08-05,2026-08-14
accidentally,"偶然に。 / 誤って。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/accidentally,"CC BY-SA 4.0",2026-08-05,2026-08-14
accountable,"責任のある。 / 説明する義務のある。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/accountable,"CC BY-SA 4.0",2026-08-05,2026-08-14
accumulative,"累積的な。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/accumulative,"CC BY-SA 4.0",2026-08-05,2026-08-14
accurate,"正確な、精密な、間違いのない","Japanese Wiktionary",https://ja.wiktionary.org/wiki/accurate,"CC BY-SA 4.0",2026-08-05,2026-08-14
accurately,"正確に、間違いなく。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/accurately,"CC BY-SA 4.0",2026-08-05,2026-08-14
accusatory,"起訴の、非難の、責めるような。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/accusatory,"CC BY-SA 4.0",2026-08-05,2026-08-14
acerbic,"酸っぱい、苦い、渋い。 / 厳しい、辛辣な。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/acerbic,"CC BY-SA 4.0",2026-08-05,2026-08-14
achoo,"くしゃみの擬音語。ハクション。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/achoo,"CC BY-SA 4.0",2026-08-05,2026-08-14
acquisitive,"得ようとする、貪欲な","Japanese Wiktionary",https://ja.wiktionary.org/wiki/acquisitive,"CC BY-SA 4.0",2026-08-05,2026-08-14
acrid,"（味やにおいが）刺すような、ぴりぴりする、刺激する。 / 辛辣な、とげとげしい。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/acrid,"CC BY-SA 4.0",2026-08-05,2026-08-14
acrimonious,"辛い。 / 厳しい、とげとげしい、辛辣な。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/acrimonious,"CC BY-SA 4.0",2026-08-05,2026-08-14
across,"を横切って。 / の向こう側に。 / と交差して。 / 横。（クロスワードパズルなどで）ヨコのカギ。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/across,"CC BY-SA 4.0",2026-08-05,2026-08-14
actionable,"法的手段に訴えることが可能な。訴訟を起こすに値する。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/actionable,"CC BY-SA 4.0",2026-08-05,2026-08-14
actively,"積極的に / 活発に","Japanese Wiktionary",https://ja.wiktionary.org/wiki/actively,"CC BY-SA 4.0",2026-08-05,2026-08-14
actually,"本当に、実は。 / 実際に。現に。 / 事実上。実質的に。 / 現在。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/actually,"CC BY-SA 4.0",2026-08-05,2026-08-14
acutely,"鋭く。 / 激しく。 / 深刻に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/acutely,"CC BY-SA 4.0",2026-08-05,2026-08-14
adaptable,"順応できる","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adaptable,"CC BY-SA 4.0",2026-08-05,2026-08-14
adaptive,"適応性のある。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adaptive,"CC BY-SA 4.0",2026-08-05,2026-08-14
addicting,"""addict"" の動名詞又は現在分詞。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/addicting,"CC BY-SA 4.0",2026-08-05,2026-08-14
additional,"追加の、付加された / 追加された物","Japanese Wiktionary",https://ja.wiktionary.org/wiki/additional,"CC BY-SA 4.0",2026-08-05,2026-08-14
additionally,"更に、その上","Japanese Wiktionary",https://ja.wiktionary.org/wiki/additionally,"CC BY-SA 4.0",2026-08-05,2026-08-14
additionals,"additionalの複数形","Japanese Wiktionary",https://ja.wiktionary.org/wiki/additionals,"CC BY-SA 4.0",2026-08-05,2026-08-14
adequate,"適当な、適切な、相応な、相応しい。 / 十分な。 / まずまずの。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adequate,"CC BY-SA 4.0",2026-08-05,2026-08-14
adequately,"十分に、満足に","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adequately,"CC BY-SA 4.0",2026-08-05,2026-08-14
adhesively,"接着して。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adhesively,"CC BY-SA 4.0",2026-08-05,2026-08-14
adjacent,"隣接した、すぐそばの、付近の。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adjacent,"CC BY-SA 4.0",2026-08-05,2026-08-14
adjectival,"形容詞的な。形容詞のような働きをする。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adjectival,"CC BY-SA 4.0",2026-08-05,2026-08-14
administrative,"管理上の、経営上の、行政上の。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/administrative,"CC BY-SA 4.0",2026-08-05,2026-08-14
administratively,"管理上、経営上、行政上","Japanese Wiktionary",https://ja.wiktionary.org/wiki/administratively,"CC BY-SA 4.0",2026-08-05,2026-08-14
administratrix,"女性の遺産管理人。[16世紀より]","Japanese Wiktionary",https://ja.wiktionary.org/wiki/administratrix,"CC BY-SA 4.0",2026-08-05,2026-08-14
admirable,"称賛に値する、見事な、立派な。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/admirable,"CC BY-SA 4.0",2026-08-05,2026-08-14
admirably,"見事に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/admirably,"CC BY-SA 4.0",2026-08-05,2026-08-14
admissible,"受け入れられる。容認できる。許容できる。 / （証拠などが）適格な。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/admissible,"CC BY-SA 4.0",2026-08-05,2026-08-14
adoptive,"養子縁組した。 / 第二の故郷の。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adoptive,"CC BY-SA 4.0",2026-08-05,2026-08-14
adorable,"可愛い。愛らしい。 / 崇拝できる。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adorable,"CC BY-SA 4.0",2026-08-05,2026-08-14
adoringly,"崇拝して / 熱愛して","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adoringly,"CC BY-SA 4.0",2026-08-05,2026-08-14
adroit,"器用な。機敏な。巧みな。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adroit,"CC BY-SA 4.0",2026-08-05,2026-08-14
adroitly,"器用に。機敏に。巧みに。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adroitly,"CC BY-SA 4.0",2026-08-05,2026-08-14
adulterous,"姦通の、不倫の。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adulterous,"CC BY-SA 4.0",2026-08-05,2026-08-14
advantageous,"有利な / 都合のよい","Japanese Wiktionary",https://ja.wiktionary.org/wiki/advantageous,"CC BY-SA 4.0",2026-08-05,2026-08-14
advantageously,"有利に / 都合よく","Japanese Wiktionary",https://ja.wiktionary.org/wiki/advantageously,"CC BY-SA 4.0",2026-08-05,2026-08-14
adventurous,"冒険的な、冒険好きな、冒険心のある、大胆な。 / 危険な、勇気の要る。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adventurous,"CC BY-SA 4.0",2026-08-05,2026-08-14
adverse,"反対の、敵意のある、不利な","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adverse,"CC BY-SA 4.0",2026-08-05,2026-08-14
adversely,"反対に、不利に","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adversely,"CC BY-SA 4.0",2026-08-05,2026-08-14
advices,"""advice"" の複数形","Japanese Wiktionary",https://ja.wiktionary.org/wiki/advices,"CC BY-SA 4.0",2026-08-05,2026-08-14
advisable,"勧められる。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/advisable,"CC BY-SA 4.0",2026-08-05,2026-08-14
advisedly,"熟慮して。熟考して。 / 態と。意図的に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/advisedly,"CC BY-SA 4.0",2026-08-05,2026-08-14
adzuki,"小豆。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/adzuki,"CC BY-SA 4.0",2026-08-05,2026-08-14
ae,"一つの。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ae,"CC BY-SA 4.0",2026-08-05,2026-08-14
aerodynamically,"空気力学的に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aerodynamically,"CC BY-SA 4.0",2026-08-05,2026-08-14
affable,"愛想の良い。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/affable,"CC BY-SA 4.0",2026-08-05,2026-08-14
affably,"愛想良く。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/affably,"CC BY-SA 4.0",2026-08-05,2026-08-14
affectionate,"（行動が）愛情の込もった。愛情のある。 / （人が）優しい。愛情のある。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/affectionate,"CC BY-SA 4.0",2026-08-05,2026-08-14
affiche,"貼り紙、ポスター、プラカード。 / 貼り紙を張る。 / 宣伝する、広告する。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/affiche,"CC BY-SA 4.0",2026-08-05,2026-08-14
affirmatively,"肯定的な","Japanese Wiktionary",https://ja.wiktionary.org/wiki/affirmatively,"CC BY-SA 4.0",2026-08-05,2026-08-14
affordable,"（価格などが）手頃な。 / （困難などが）乗り越えられる。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/affordable,"CC BY-SA 4.0",2026-08-05,2026-08-14
afire,"燃えて。 / 夢中になって、興奮して。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/afire,"CC BY-SA 4.0",2026-08-05,2026-08-14
afk,"AFKの別形。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/afk,"CC BY-SA 4.0",2026-08-05,2026-08-14
aflame,"燃えて、燃えるように、炎上して。 / 紅潮して、興奮して。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aflame,"CC BY-SA 4.0",2026-08-05,2026-08-14
afraid,"恐れて。 / 心配して。 / ためらって。 / （I'm afraid (that)～の形で）おそらく。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/afraid,"CC BY-SA 4.0",2026-08-05,2026-08-14
afresh,"新たに。 / 再び。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/afresh,"CC BY-SA 4.0",2026-08-05,2026-08-14
afta,"afterの非標準の綴り。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/afta,"CC BY-SA 4.0",2026-08-05,2026-08-14
afterward,"(米語)その後。後で。後に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/afterward,"CC BY-SA 4.0",2026-08-05,2026-08-14
afterwards,"後で。後に。その後。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/afterwards,"CC BY-SA 4.0",2026-08-05,2026-08-14
again,"また、ふたたび。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/again,"CC BY-SA 4.0",2026-08-05,2026-08-14
against,"～の反対方向の/に、逆方向の/に、～にさからって。 / ～のそばに。 / ～の前に。～を背景に。 / ～に接近して、～にくっつけて。 / ～に当たって。 / ～と争って。 / ～から守るために。 / ～に反対して、反対意見で。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/against,"CC BY-SA 4.0",2026-08-05,2026-08-14
ageless,"老けない / 若々しい / 永遠の","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ageless,"CC BY-SA 4.0",2026-08-05,2026-08-14
agentive,"動作主を示す。 / 動作主を示す語。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/agentive,"CC BY-SA 4.0",2026-08-05,2026-08-14
aggressive,"攻撃的な、喧嘩っ早い。 / 積極的な。 / 攻撃的な人。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aggressive,"CC BY-SA 4.0",2026-08-05,2026-08-14
aggressively,"攻撃的に / 積極的に","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aggressively,"CC BY-SA 4.0",2026-08-05,2026-08-14
aghast,"びっくりして。仰天して。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aghast,"CC BY-SA 4.0",2026-08-05,2026-08-14
agile,"素早い。機敏な。敏捷な。 / 頭の回転の速い。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/agile,"CC BY-SA 4.0",2026-08-05,2026-08-14
ago,"～昔。今から～前に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ago,"CC BY-SA 4.0",2026-08-05,2026-08-14
agreeable,"[〜に]賛成の。 [to] / [〜に]（提案などが）容認される。 [to] / 気持ちいい。心地よい。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/agreeable,"CC BY-SA 4.0",2026-08-05,2026-08-14
agreeably,"気持ちよく","Japanese Wiktionary",https://ja.wiktionary.org/wiki/agreeably,"CC BY-SA 4.0",2026-08-05,2026-08-14
agricultural,"農業の。農業に関連する。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/agricultural,"CC BY-SA 4.0",2026-08-05,2026-08-14
aground,"浅瀬に乗り上げた。座礁した。 / 困窮した。 / 浅瀬に乗り上げて。座礁して。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aground,"CC BY-SA 4.0",2026-08-05,2026-08-14
aha,"（理解・納得など）ああ、うん、なるほど。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aha,"CC BY-SA 4.0",2026-08-05,2026-08-14
ahead,"（位置・時間など）前に / 優勢に","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ahead,"CC BY-SA 4.0",2026-08-05,2026-08-14
ahem,"咳の擬音語。特に、注意を引きたいことや不満があることを表す。えへん。おほん。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ahem,"CC BY-SA 4.0",2026-08-05,2026-08-14
ahi,"キハダマグロ。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ahi,"CC BY-SA 4.0",2026-08-05,2026-08-14
ahoy,"おおい。（主に船上での呼びかけに用いる。）","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ahoy,"CC BY-SA 4.0",2026-08-05,2026-08-14
ahu,"アフ","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ahu,"CC BY-SA 4.0",2026-08-05,2026-08-14
aimless,"目的のない","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aimless,"CC BY-SA 4.0",2026-08-05,2026-08-14
aimlessly,"目的もなく","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aimlessly,"CC BY-SA 4.0",2026-08-05,2026-08-14
airborne,"空輸の / 飛行中の / 空挺の","Japanese Wiktionary",https://ja.wiktionary.org/wiki/airborne,"CC BY-SA 4.0",2026-08-05,2026-08-14
airconditioner,"air conditionerの異表記。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/airconditioner,"CC BY-SA 4.0",2026-08-05,2026-08-14
airconditioners,"airconditionerの複数形。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/airconditioners,"CC BY-SA 4.0",2026-08-05,2026-08-14
airless,"風通しの悪い / 無風の","Japanese Wiktionary",https://ja.wiktionary.org/wiki/airless,"CC BY-SA 4.0",2026-08-05,2026-08-14
ait,"小島。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ait,"CC BY-SA 4.0",2026-08-05,2026-08-14
ajar,"（扉が）半開きの。 / （扉が）半開きで。 / 不調和の。 / 不調和で。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ajar,"CC BY-SA 4.0",2026-08-05,2026-08-14
ajinomoto,"グルタミン酸ナトリウム。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ajinomoto,"CC BY-SA 4.0",2026-08-05,2026-08-14
aka,"also known as（逐語訳:「…としても知られている」）の略。〈別名（を…という）〉","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aka,"CC BY-SA 4.0",2026-08-05,2026-08-14
akamatsu,"赤松。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/akamatsu,"CC BY-SA 4.0",2026-08-05,2026-08-14
ake,"acheの旧綴り。 / 永遠に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ake,"CC BY-SA 4.0",2026-08-05,2026-08-14
akeni,"明荷。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/akeni,"CC BY-SA 4.0",2026-08-05,2026-08-14
akimbo,"両腕の肘を曲げて両手を腰に当てるさま。 / 両腕の肘を曲げて両手を腰に当てながら。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/akimbo,"CC BY-SA 4.0",2026-08-05,2026-08-14
akin,"血族の。 / 同種の、同類の、類似した。 / 例える。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/akin,"CC BY-SA 4.0",2026-08-05,2026-08-14
alarmingly,"驚くほど。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/alarmingly,"CC BY-SA 4.0",2026-08-05,2026-08-14
albeit,"～ではあるが。 / 縦え～でも。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/albeit,"CC BY-SA 4.0",2026-08-05,2026-08-14
alchemic,"錬金術の。錬金術に関する。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/alchemic,"CC BY-SA 4.0",2026-08-05,2026-08-14
alchemical,"錬金術の。錬金術に関する。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/alchemical,"CC BY-SA 4.0",2026-08-05,2026-08-14
algebraically,"代数的に、代数学的に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/algebraically,"CC BY-SA 4.0",2026-08-05,2026-08-14
algo,"algorithmの短縮。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/algo,"CC BY-SA 4.0",2026-08-05,2026-08-14
algos,"algoの複数形。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/algos,"CC BY-SA 4.0",2026-08-05,2026-08-14
algum,"アルガム。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/algum,"CC BY-SA 4.0",2026-08-05,2026-08-14
alif,"（アラビア文字）アリフ。ا。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/alif,"CC BY-SA 4.0",2026-08-05,2026-08-14
alike,"似ている。一様な。等しい。同じ。同様な。 / 一様に。等しく。同様に。同じように。 / 似ているもの。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/alike,"CC BY-SA 4.0",2026-08-05,2026-08-14
alive,"生きている。 / 活発な。 / 賑わって。 / 存続して。 / 敏感で。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/alive,"CC BY-SA 4.0",2026-08-05,2026-08-14
alkalies,"alkaliの複数形。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/alkalies,"CC BY-SA 4.0",2026-08-05,2026-08-14
all,"（複数形の名詞に付いて）全ての。全部の。全数の。全員の。（ある期間）ずっと。 / （単数形の名詞に付いて）全体の。全部の。（ある期間）ずっと。 / すっかり。全く。完全に。 / 全員。全部。 / （関係節を続けて）～である全て。のみ。だけ。 / 全部。 / 全体。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/all,"CC BY-SA 4.0",2026-08-05,2026-08-14
allarme,"alarmの廃用。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/allarme,"CC BY-SA 4.0",2026-08-05,2026-08-14
allegedly,"申し立てによれば。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/allegedly,"CC BY-SA 4.0",2026-08-05,2026-08-14
allegorical,"寓話の、寓話的な、寓意を含んだ。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/allegorical,"CC BY-SA 4.0",2026-08-05,2026-08-14
allergic,"アレルギーの。アレルギー性の。 / アレルギーがある。 / 大嫌いな。大の苦手な。 / アレルギーを持つ人。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/allergic,"CC BY-SA 4.0",2026-08-05,2026-08-14
allocable,"割り当て可能な。配分可能な。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/allocable,"CC BY-SA 4.0",2026-08-05,2026-08-14
allumette,"マッチ棒。 / フライドポテト。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/allumette,"CC BY-SA 4.0",2026-08-05,2026-08-14
allusive,"暗示する。仄めかした。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/allusive,"CC BY-SA 4.0",2026-08-05,2026-08-14
almost,"殆ど。 / 殆うく。…しそうだった。…しかけた。 / （間投詞的に）惜しい。あともう少し。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/almost,"CC BY-SA 4.0",2026-08-05,2026-08-14
